SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;StandardToken;contract;73;36;28;5;6;1;1;11;21;2;3;2;0;1;10;1.2;0.2;0.2;2.2;4.2;2.0
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;2;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;MziToken;contract;5;5;0;0;0;0;0;0;0;4;6;0;1;5;0;0.0;0.0;0.0;0.0;0.0;0.0
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;Crowdsale;contract;93;48;22;7;7;0;0;5;24;0;0;1;1;6;11;1.0;0.0;0.0;0.7142857142857143;3.4285714285714284;1.5714285714285714
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;BasicToken;contract;31;15;11;2;2;0;0;3;7;1;1;3;0;1;4;1.0;0.0;0.0;1.5;3.5;2.0
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;5;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;MintableToken;contract;36;21;10;2;2;0;0;2;10;3;5;1;0;1;5;1.0;0.0;0.0;1.0;5.0;2.5
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;SafeMath;library;28;23;2;4;5;1;1;8;12;0;0;0;0;0;3;1.25;0.25;0.25;2.0;3.0;0.75
8d2301e58406648b72f37366785a54e0f7e081ce_Moozicore.sol;8d;Moozicore;contract;125;98;1;6;24;12;5;7;52;1;1;0;2;14;15;4.0;2.0;0.8333333333333334;1.1666666666666667;8.666666666666666;2.5
