SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;5;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;SafeMathLibExt;library;27;22;0;4;4;0;0;8;12;0;0;0;0;0;4;1.0;0.0;0.0;2.0;3.0;1.0
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;3;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;SafeMath;contract;42;34;0;8;8;0;0;16;16;0;0;4;0;0;4;1.0;0.0;0.0;2.0;2.0;0.5
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;StandardToken;contract;55;34;8;6;7;1;1;10;18;2;3;3;0;2;7;1.1666666666666667;0.16666666666666666;0.16666666666666666;1.6666666666666667;3.0;1.1666666666666667
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;ReleasableToken;contract;80;40;25;5;5;0;0;8;15;2;3;1;0;3;2;1.0;0.0;0.0;1.6;3.0;0.4
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;6;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;CrowdsaleTokenExt;contract;107;46;39;5;8;2;2;9;24;4;8;0;1;4;9;1.6;0.4;0.4;1.8;4.8;1.8
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;UpgradeAgent;contract;12;7;1;2;2;0;0;2;1;0;0;0;0;1;0;1.0;0.0;0.0;1.0;0.5;0.0
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;UpgradeableToken;contract;119;49;47;6;19;6;4;4;38;3;4;1;1;3;13;3.1666666666666665;1.0;0.6666666666666666;0.6666666666666666;6.333333333333333;2.1666666666666665
0be34c15f069663FF05eF5EA1E99ab3Dd2d0Fdce_CrowdsaleTokenExt.sol;0b;MintableTokenExt;contract;124;86;18;10;13;3;3;18;31;3;5;1;0;6;11;1.3;0.3;0.3;1.8;3.1;1.1
