SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;SafeMath;library;45;22;18;4;5;1;1;8;11;0;0;0;0;0;3;1.25;0.25;0.25;2.0;2.75;0.75
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;BurnableToken;contract;23;13;6;2;2;0;0;3;6;2;2;1;0;0;4;1.0;0.0;0.0;1.5;3.0;2.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;MintableToken;contract;49;33;10;2;2;0;0;2;12;3;5;1;0;1;2;1.0;0.0;0.0;1.0;6.0;1.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;FUTM;contract;186;137;13;10;18;3;3;11;88;4;8;0;1;25;53;1.8;0.3;0.3;1.1;8.8;5.3
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;ERC20;contract;14;12;0;3;3;0;0;7;0;1;1;3;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;BasicToken;contract;39;19;13;3;3;0;0;3;8;1;1;4;0;2;3;1.0;0.0;0.0;1.0;2.6666666666666665;1.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;Ownable;contract;56;27;21;3;3;0;0;2;9;0;0;2;0;1;3;1.0;0.0;0.0;0.6666666666666666;3.0;1.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;ERC20Basic;contract;6;6;0;3;3;0;0;3;0;0;0;6;0;0;0;1.0;0.0;0.0;1.0;0.0;0.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;RBAC;contract;92;36;46;4;4;0;0;8;8;0;0;1;1;1;4;1.0;0.0;0.0;2.0;2.0;1.0
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;Roles;library;46;28;14;4;4;0;0;8;4;0;0;0;0;0;1;1.0;0.0;0.0;2.0;1.0;0.25
0157b72f1ccf174cac1ec1a4fb6a791f7fe4253f_FUTM.sol;01;StandardToken;contract;111;63;39;5;6;1;1;11;21;2;3;2;0;1;6;1.2;0.2;0.2;2.2;4.2;1.2
