SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;IERC20;interface;17;10;0;6;6;0;0;10;0;0;0;6;0;0;0;1.0;0.0;0.0;1.6666666666666667;0.0;0.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;Roles;library;34;19;10;3;3;0;0;6;8;0;0;0;0;0;3;1.0;0.0;0.0;2.0;2.6666666666666665;1.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;CryptoCardsGumToken;contract;2;2;0;0;0;0;0;0;0;5;8;0;0;3;0;0.0;0.0;0.0;0.0;0.0;0.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;Ownable;contract;65;30;27;5;5;0;0;2;12;0;0;2;0;1;3;1.0;0.0;0.0;0.4;2.4;0.6
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;ERC20Detailed;contract;32;19;9;3;3;0;0;0;6;1;1;2;0;3;0;1.0;0.0;0.0;0.0;2.0;0.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;ERC20Capped;contract;20;14;3;2;2;0;0;2;5;3;4;2;0;1;2;1.0;0.0;0.0;1.0;2.5;1.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;MinterRole;contract;39;30;0;5;5;0;0;4;10;0;0;4;1;1;5;1.0;0.0;0.0;0.8;2.0;1.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;CryptoCardsERC20;contract;7;7;0;0;0;0;0;0;0;4;7;1;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;ERC20;contract;170;66;83;12;12;0;0;23;36;1;1;4;0;3;19;1.0;0.0;0.0;1.9166666666666667;3.0;1.5833333333333333
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;SafeMath;library;59;29;21;5;6;1;1;10;16;0;0;0;0;0;5;1.2;0.2;0.2;2.0;3.2;1.0
8012ef53d9bc6d77e303c955df37bad7d112a1dd_CryptoCardsGumToken.sol;80;ERC20Mintable;contract;12;6;6;1;1;0;0;2;2;2;3;3;0;0;1;1.0;0.0;0.0;2.0;2.0;1.0
