SolidityFile;ETHAddress;ContractName;Type;SLOC;LLOC;CLOC;NF;WMC;NL;NLE;NUMPAR;NOS;DIT;NOA;NOD;CBO;NA;NOI;Avg. McCC;Avg. NL;Avg. NLE;Avg. NUMPAR;Avg. NOS;Avg. NOI
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;ReleasableToken;contract;80;40;25;5;5;0;0;8;15;2;3;1;0;3;2;1.0;0.0;0.0;1.6;3.0;0.4
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;Haltable;contract;29;21;2;2;2;0;0;0;11;1;1;1;0;1;0;1.0;0.0;0.0;0.0;5.5;0.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;ReservedTokensFinalizeAgent;contract;80;58;5;4;12;4;4;3;36;1;1;0;2;3;18;3.0;1.0;1.0;0.75;9.0;4.5
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;StandardToken;contract;55;34;8;6;7;1;1;10;18;2;3;3;0;2;7;1.1666666666666667;0.16666666666666666;0.16666666666666666;1.6666666666666667;3.0;1.1666666666666667
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;UpgradeAgent;contract;12;7;1;2;2;0;0;2;1;0;0;0;0;1;0;1.0;0.0;0.0;1.0;0.5;0.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;FinalizeAgent;contract;21;9;6;4;4;0;0;1;1;0;0;1;0;1;0;1.0;0.0;0.0;0.25;0.25;0.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;Ownable;contract;36;16;11;2;2;0;0;1;6;0;0;5;0;1;2;1.0;0.0;0.0;0.5;3.0;1.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;CrowdsaleTokenExt;contract;107;46;39;5;8;2;2;9;24;4;8;0;1;4;9;1.6;0.4;0.4;1.8;4.8;1.8
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;SafeMathLibExt;library;27;22;0;4;4;0;0;8;12;0;0;0;0;0;4;1.0;0.0;0.0;2.0;3.0;1.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;ERC20;contract;6;6;0;3;3;0;0;7;0;1;1;6;0;0;0;1.0;0.0;0.0;2.3333333333333335;0.0;0.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;ERC20Basic;contract;6;6;0;2;2;0;0;3;0;0;0;7;0;1;0;1.0;0.0;0.0;1.5;0.0;0.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;CrowdsaleExt;contract;586;314;159;34;82;28;21;43;188;2;2;0;4;24;68;2.411764705882353;0.8235294117647058;0.6176470588235294;1.2647058823529411;5.529411764705882;2.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;UpgradeableToken;contract;119;49;47;6;19;6;4;4;38;3;4;1;1;3;13;3.1666666666666665;1.0;0.6666666666666666;0.6666666666666666;6.333333333333333;2.1666666666666665
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;MintableTokenExt;contract;124;86;18;10;13;3;3;18;31;3;5;1;0;6;11;1.3;0.3;0.3;1.8;3.1;1.1
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;PricingStrategy;contract;42;16;20;5;5;0;0;8;3;0;0;0;0;1;0;1.0;0.0;0.0;1.6;0.6;0.0
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;SafeMath;contract;42;34;0;8;8;0;0;16;16;0;0;4;0;0;4;1.0;0.0;0.0;2.0;2.0;0.5
4C7337282a3277E73827b6d43fC69042f7865B61_ReservedTokensFinalizeAgent.sol;4c;FractionalERC20Ext;contract;6;4;0;0;0;0;0;0;0;2;2;0;0;2;0;0.0;0.0;0.0;0.0;0.0;0.0
